"PhaseOfEducation (code)","SchoolWebsite"
"2","www.thealdgateschool.org"
"2","http://www.argyle.camden.sch.uk/"
"2","http://www.westhampstead.camden.sch.uk/"
"2","http://www.brecknock.camden.sch.uk/"
"2","http://www.brookfield.camden.sch.uk/"
"2","http://www.edithneville.camden.sch.uk/"
"2","http://www.fleet.camden.sch.uk/"
"2","http://www.hawley.camden.sch.uk/"
"2","www.netley.camden.sch.uk/"
"2","http://www.newend.camden.sch.uk/"
"2","www.primrosehill.camden.sch.uk"
"2","www.rhylprim.camden.sch.uk/"
"2","http://www.rcobden.camden.sch.uk/"
"2","http://www.torriano.camden.sch.uk/"
"2","www.gospeloak.camden.sch.uk"
"2","http://www.fitzjohns.camden.sch.uk/"
"2","http://www.eleanorpalmer.camden.sch.uk/"
"2","http://www.christchurchschool.co.uk/"
"2","http://www.cchurchnw1.camden.sch.uk"
"2","http://www.emmanuel.camden.sch.uk/"
"2","http://www.hampsteadprim.camden.sch.uk/"
"2","www.holytrinitynw3.co.uk"
"2","http://www.holytrinitynw1.camden.sch.uk/"
"2","http://www.kentishtown.camden.sch.uk/"
"2","http://www.rosary.camden.sch.uk/"
"2","www.stalbanscamden.co.uk"
"2","http://www.stgeorge.camden.sch.uk/"
"2","http://www.stjosephs.camden.sch.uk"
"2","http://www.stmarykilburn.camden.sch.uk/"
"2","www.stmp.camden.sch.uk"
"2","http://www.stpatricks.camden.sch.uk/"
"2","http://www.stpauls.camden.sch.uk"
"2","http://www.steugene.camden.sch.uk/"
"2","https://www.ourladys.camden.sch.uk/"
"4","http://www.haverstock.camden.sch.uk/"
"4","http://www.parliamenthill.camden.sch.uk/"
"4","http://www.regenthighschool.org.uk/"
"4","http://www.hampsteadschool.org.uk/"
"4","http://www.aclandburghley.camden.sch.uk/"
"4","http://www.camdengirls.camden.sch.uk"
"4","http://www.mariafidelis.camden.sch.uk/"
"4","http://www.williamellis.camden.sch.uk/"
"4","http://www.lasainteunion.org.uk/"
"2","www.mordenmount.greenwich.sch.uk/"
"2","www.cherryorchardschool.org.uk"
"2","www.ealdhamprimary.org.uk"
"2","http://www.fossdene.greenwich.sch.uk"
"2","www.gallionsmount.greenwich.sch.uk"
"2","www.gordonprimary.co.uk"
"2","http://www.haimoprimaryschool.co.uk"
"2","http://www.henwickprimary.co.uk"
"2","www.invictaprimaryschool.org.uk/"
"2","www.meridian.greenwich.sch.uk"
"2","www.plumcroftprimary.co.uk"
"2","www.sheringtonprimary.co.uk"
"2","www.thorntree.greenwich.sch.uk/"
"2","www.wyborne.greenwich.sch.uk/"
"2","www.montbelle.org.uk/"
"2","www.delucyprimaryschool.co.uk/"
"2","www.cardwellschool.co.uk"
"2","www.heronsgate.greenwich.sch.uk"
"2","www.lintonmead.org.uk"
"2","www.greensladeprimary.org.uk/"
"2","www.mulgraveprimary.org.uk"
"2","www.charltonmanorprimary.co.uk/"
"2","www.koinoniafederation.com"
"2","www.ccshprimary.org.uk"
"2","http://www.elthamcoeschool.co.uk/"
"2","www.ourladyofgracecatholicprimaryschool.co.uk"
"2","www.stjosephs.greenwich.sch.uk/"
"2","http://www.stmargaretce.greenwich.sch.uk"
"7","www.koinoniafederation.com"
"2","http://www.lgfl.net/lgfl/leas/greenwich/schools/stpatricks/"
"2","http://www.stalfegeschool.org.uk"
"2","www.stpeters.greenwich.sch.uk"
"2","www.stmprimary.org"
"2","www.stthomasabecketsch.org.uk/"
"2","www.notredame.greenwich.sch.uk"
"2","http://www.lgfl.net/lgfl/leas/greenwich/schools/stmargaretclitherow/"
"2","www.bishopjohnrobinsonprimary.co.uk/"
"4","http://elthamhill.com"
"4","http://www.plumsteadmanor.com"
"4","www.thomastallisschool.com"
"4","www.stursulas.com"
"2","www.berger.hackney.sch.uk"
"2","www.daubeney.hackney.sch.uk"
